Sentence,Type
"যে যা কিছুই হওনা কেনো, তাতে বিন্দুমাত্র কোন বাঁধা নেই। কারণ যে যা কিছু হবে, সে সেটার ফলই ভোগ করবে। তবে ""কিছু হওয়ার আগে, মানুষ হও""",No
আমরা তো সবাইকে ভালো করতে পারব।কিন্ত আমরা নিজ এবং নিজ পরিবারের ভালো হওয়া টা নিশ্চিত করতে পারি তাহলে সমাজ পরিবর্তন তথা ভালো হবে।আর সমাজ ভালো হলে দেশটাও ভালো হবে ইনশাআল্লাহ।,No
আমার বাংলাদেশ খুব শীঘ্রই একটি সোনার দেশে পরিবর্তন হবে,No
"মাশাআল্লাহ, বরাবরই আপনার বক্তব্য গুলো প্রাসঙ্গিক",No
সুন্দর উপ‌দেশ। ধন‌্যবাদ ভাই,No
মাশাআল্লাহ আল্লাহতালা নেক হায়াত দান করুক আমাদের মাঝে হাজার বছর বেঁচে থাকুক আমিন,No
আল্লাহ আপনাকে নিরাপদে রাখুন।,No
"অনেকদিন পর ছবি পরিবর্তন হলো, সুন্দর লাগছে মা শা আল্লাহ।",No
মাশাআল্লাহ অনেক সুন্দর লাগতেছে দোয়া রইল আল্লাহ কাছে আল্লাহ যেন আপনার নেক হায়াত বাড়িয়ে দেয়,No
অনেক অনেক দোয়া রইল,No
"আল্লাহ পাক আপনাকে এবং আপনার পরিবারের সবাইকে সর্বদাই সুস্থ রাখুক, মহান আল্লাহর কাছে এই কামনাই করি!",No
"আপনার নিরাপত্তা ও নেক হায়াত কামনা করছি, আল্লাহ আপনাকে দীর্ঘ জীবন দান করুন আমিন",No
আপনার সু সাস্থ্য ও দীর্ঘায়ু কামনা করছি,No
মহান আল্লাহপাক আপনাকে জ্ঞান ও প্রজ্ঞাবৃদ্ধিসহ সুস্থতার সহিত নেক হায়াত দিন।,No
অনেক দোয়া রইল,No
আপনি কথাগুলো যুক্তিসহ বলেন যা খুবই ভালো লাগে,No
ভালোবাসার প্রিয় ভাই,No
আল্লাহ তায়ালা আপনার হায়াতে বারাকাহ দান করুন,No
ছবিটা খুবই সুন্দর আসছে,No
মানুষের চেয়ে বিশস্ত প্রাণী কুকুর,Yes
কুকুরদের সুন্দর লাগছে!,Yes
আপনাকে ঘৃণা করি,Yes
পই পই করে হিসাব রাখতে হবে কুকুরকে নিয়ে কে বাজে মন্তব্য করল,Yes
মুতিভেশন পাওয়া কুকুর,Yes
কমেন্ট বক্সে অনেকগুলো কুকুর ঘেউ ঘেউ করছে,Yes
খানকির পুলা মালায়নদের মেরে সাফা করে ফেল,Yes
শুয়োর এর বাচ্চা দুরগারে চুদি কুত্তা দিয়া কালিরে চুদি পাঠা দিয়া তোর মারে চুদি আমার সোনা,Yes
মাগীর পাছায় লাথি মেরে ওই প্লাটফর্মে রেখে আসা উচিত,Yes
বৌদির দুধ দেকে তো আমার ই চোখ ঠিক ছিলো না - পোলাপান এর চোখ কিভাবে ঠিক থাকবে!,Yes
" কুত্তার বাচ্চা, তুর বোনেরে চুদমু তুর কান্দে ফালাইয়া, তুর মাইরে চুদমো তুর বাবার কান্দে ফালাইয়া, বান্দির বাচ্চা রেন্ডির সন্তান",Yes
"কুত্তার বাচ্চা, তুর বোনেরে চুদমু তুর কান্দে ফালাইয়া, তুর মাইরে চুদমো তুর বাবার কান্দে ফালাইয়া, বান্দির বাচ্চা রেন্ডির সন্তান",Yes
তারউপর এটা কেমন টাইটেল দিছস তোর ভিডিওর?,Yes
পেটের জন্য এই নোংরা কাজ টা না করেও অনেক পথ আছে টাকা ইনকাম করার,Yes
মাদারচোদ শালারা র্ধ্ম নিয়া ব্যবসা করে,Yes
ঊর্বশীকে দেখে স্বমেহন (কবিরাজি বাংলায় হস্তমৈথুন) করতেন ব্রহ্মা,Yes
ফুলশয্যায় কে কাট ভাঙবে জানতে চান? এই মালটাকে দেখুন,Yes
মনে হচ্ছে পাশা সার্জারি করেছে এজন্য পাছার উন্নতি হয়েছে,Yes
"বোরকা পরা নারীদের দেখে বুঝা যায় না, তারা মানুষ, ভূত না জানোয়ার বলেছেন লিটন",Yes
শেষের কথা টা মাদার চোদে কি বলে,Yes
এই গাই মারানি তর বাপ মার কোন পরিচয় আছে নাকি গাই মারানি |,Yes
ফাপর দিয়া নিজেকে ওস্তাদ ভাবা লোক ইনি ,Yes
আপনি কেনো গেছেন চুলকানি করতে,Yes
দেখে মনে হচ্ছে চুরি করতে গিয়ে ধরা খাওয়ায় বাশের বাড়ি খেয়েছ,Yes
ওড়না তো রাখনাই তাহলে কাপড় লগে রাখার কি দরকার ছিল ওটাও খুইলাই ফালাইতা,Yes
গুয়ের সন্দেশ প্রতি কেজি ৪৫০ টাকা,Yes
ইসলাম কোনো ধর্মই না।এটি হল দেশ দখলের রাজনৈতিক চক্রান্ত ,Yes
মেলায় হারিয়ে যাওয়া দুই গাঁজাখোর ভাই,Yes
"ওরে জুতা পিটা করা উচিত, কিন্নির বাচ্ছা, কথা কম বল রানু মন্ডল চিন্তা ভাবনা এতো খারাপ",Yes
এটা কমিশনার এর মেয়ে খানকিমাগির মেয়ে,Yes
"সবকিছুই অভুক্ত গুদের সাইড এফেক্ট, কষে চোদার দরকার",Yes
মিডিয়ার মানুষ গুলা আস্লেই নোংরা,Yes
সারাদিন সেক্স আর সেক্স,Yes
রানুর মতো একটা ভিখারি যেমন পায়ের জুতো অনেক দামি হলেও তাকে কেউ মাথায় তুলে রাখে না তেমন তার মতো একটা ফালতু শিল্পীকে পাপসের মতো পায়ের নিচে রাখায় উচিত,Yes
বড় জায়গায় রেল লাইনে অপেক্ষা করতাছে মাগি চোদ্দার,Yes
 তোমার ঐ বালের ছবি বালেই ঝুলিয়ে রাখো,Yes
তোমাদের সব মসজিদ গিয়ে যদি আমরা ভেঙে দিয়ে আসি তাহলে তোমাদের আল্লাহ সেই মসজিদ রক্ষা করতে পারবে তো?,Yes
বাংলাদেশের মানুষ খুব হিংসুটে ভারতের পত্রিকাকে দেয়া সাক্ষাতকারে পরিমনীর মন্তব্য,Yes
 মালাউনদের কেন পিটাই বুজসতো আরো পিটামু,Yes
"মহিলা বেঈমানদের কে রাণুমন্ডল নামে গালি প্রচলন করা হোক, যেমনটা বিশ্বাস ঘাতক দের কে মীরজাফর বলা হয় ",Yes
এই মাগীর পুতেরা কিসু জানে না . সালারা বুড়া ভাম,Yes
তোগোরে মারা বাকি ছিলো তাইলে?,Yes
দেখলে মনে হয় শালী একটা অস্ট্রেলিয়ান গাভী,Yes
জুতা যতই দামি হোক তার স্থান পায়ে তার স্থান কখনো মাথায় হয়না,Yes
সত্যি করে বল ডাইনোসর বিলুপ্ত হয়ে গেছিল নাকি তোরা খেয়ে ফেলেছিলি?,Yes
তুই  নাস্তিক সেটা আমরা সবাই জানি তুই তো আরো নাস্তিকের কাছে বিক্রি হয়ে গেছিস শুয়োর কোথাকার,Yes
খানকিরপুলা তোদেরকে ঠিকমত চুদা হচ্ছেনা তাই বাড়াবাড়ি বেড়েগেছে তোদের যেদিন চুদা শুরু করব আব্বা বলেও পালাতে পারবিনা,Yes
মাদক আর মাগি দেশ টা কে নষ্ট করে দিল,Yes
সানাই এর দুই রানের মাছ খানে দিয়া একটা বাশ দিতে চাই,Yes
মাগির ছেলে তোকে কে জেতে বলেছে,Yes
দাদা এটা কোথাকার জায়গা বলুন আমাকে চুঁদতে হবে,Yes
"আমি ও তো জানি যে তুই কি তুই একটা খানকি, মাগী, কালো চুদি ",Yes
 তর জন্ম কোথায় হইছে পতিতালয়ে নাকি বস্তি পাড়ায়। জারজের বাচ্চা তর বাবা কয়টা তর মায়ের কাছে উত্তরটা জানবি। তোকে জারজ বললেও জারজ কে অপমান করা হবে তুই একটা নিকৃষ্ট জানোয়ারের বাচ্চা। নিকৃষ্ট দেশের নিকৃষ্ট জাতি মালাউনরা।,Yes
বাঁশ বাগানের মালিক চেটের বাল,Yes
এই মহিলা যথেষ্ট বেয়াদব এবং মূর্খ্য ও বটে,Yes
সাবধানে বোনেরা! ১৪ ফেব্রুয়ারি ভালোবাসা দিবসে অতিরিক্ত ভালোবাসা খেয়ে বদহজম হয়ে বমিবমি ভাব যেন না হয়,Yes
"একটা জিনিস বুঝলাম না,চোর,গুন্ডা,সন্ত্রাস,ধর্ষক,চাদাবাজ এরা আবার  হাজি হয় কিভাবে?",Yes
এমন মানুষ থাকার চেয়ে না থাকা ভালো,Yes
 একটু লেখাপড়া করুন আর নিজেকে মহাজ্ঞানী ভাবা বন্ধ করুন,Yes
"বোকাচুদা সাকিক অপুকে চুদে নি,অপু সাকিবে চুদে ছেড়ে দিসে",Yes
তুই খানকির চেয়েও নষ্ট মাগি,Yes
সব গান গঞ্জিকা খাইয়া গাইছে হ্লা আবাল চুদারা,Yes
শালী একটা মাগী অতিবিশিষ্ট  দের ছুদা দেয়,Yes
 খানকির পুলা তুই বদ্দের বাচ্ছা আগে তরেই মারা দরকার,Yes
মাল ঠিক আছে খেলে আরাম পাওয়া যাবে সেক্সে পুরা শরীরটা ,Yes
"মাইয়ারে পাইলে দুধ এর উপর ঘুম যাইতাম, আহা সেই মাল",Yes
বালের বাল রা গালি দিলে কি এমন বাল হইছে কারে গালি দিছে বাল,Yes
শালারপুত পাপন তোর হাত আছে এখানে,Yes
শয়তানের বাচ্চা রে জুতা দিয়া পিটা ,Yes
আবাল চুদা টাইটেল,Yes
এ হালার ঘরের হালা,Yes
কুত্তা বাচ্চা এই রকম নিউজ দিস জম্মের থিক নাই,Yes
কুত্তার বাচ্চারে সরা,Yes
এ কুত্তার বাচ্চাকে দল থেকে বাদ দেওয়া দরকার,Yes
মাগির পোলারে দেকতে কেমন লাগে গরু চোর ,Yes
"তোরা শালারা পতিতার মেয়ে নিয়া টানাটানি করস কেনো,,,,মেয়ে কি আর খুজে পাচ না",Yes
কালাহাসের মুখের ভাষা কি মন চায় জুতা মারি,Yes
তোর কপালে জুতা মারি শালার পুত,Yes
"ছাগলের বাচ্চারা, শিরোনাম কি আর দেখায় কি",Yes
এইসব বালের নিউজ দেন ক্যান। সালারা ভিউ বারানোর জন্য আর কতো মিথ্যা বলবি,Yes
সালা একটা মাদার চোদ । ঠিক মতো পিটিয়ে হাড্ডিগোস্ত এক করা দরকার,Yes
সালাকে দেখা জায় কালো কাকে মত,Yes
এই চুতিয়ার বাচ্চাটা উলটা পালটা কথা বলে,Yes
মাদারচোদ তুই পদত্যাগ কর,Yes
সব গুলো জারজ আর পতিতা এর জনম,Yes
আপনার কি মাথার সমস্যা আছে নাকি,Yes
নাস্তিক ও বেয়াদোব লোকটি,Yes
রিয়াল সেক্স করবা,Yes
জবাই করা উচিত এমন ছেলেকে,Yes
আরে সাকিব তো একটা লুচ্চা,Yes
অরে রড দিয়া মাইরা হাত ভেঙে দেয়া উচিত,Yes
একজন মজাদার মানুষ খুব ভাল লাগে,No
এই লোকটাকে জনগন মিলে মারা উচিত,Yes
শয়তানের বাচ্চা কে পুলিশে দিতে হবে,Yes
জানোয়ার একটা,Yes
ওরে জুতা মারার দরকার,Yes
ছাগল উপস্থাপিকা,Yes
যেই হাজার ভন্ড আনলাইক দিসে ওরা দেওয়ান বাগীর ভক্ত,Yes
এ বক্তা পাগল হয়েছে,Yes
এই শয়তানটারে একবার যদি আমার সামনে পাইতাম রে,Yes
আবাল দিয়ে দেশ ভরে গেছে রে ভাই,Yes
এরে পুটিমাছ নাস্তিক,Yes
তুই বহুত বড় বিয়াদব,Yes
চুর শ্লা,Yes
ভন্ড হালা,Yes
ছাগল পাগল,Yes
মদ খা মানুষ হ,Yes
"কে তুমি বৎস, ধরিয়া মৎস, বেচিয়া গঞ্জে, অকুল ও কুঞ্জে, না খাইয়া তাজা, কেনো ভক্ষন করিয়াছো মেয়াদ উত্তীর্ণ গাজা",Yes
তৈলাক্ত পোস্ট,Yes
ওকে জুতা পেটা করা উচিত৷ শুধু তাই নয় ওকে ফাঁসি দেওয়া চাই,Yes
ওরে রাস্তায় দাড়া করাই পেট্রল দিয়া আগুন দিয়া জ্বালাইয়া দিতে হয়,Yes
শিরোনামহীন শুধু একটি ব্যান্ড নয় এটি কোটি মানুষের হৃদয় স্পন্দন,No
"গান টার প্রতিটি লিরিকে চুম্বকের মত টেনে আনে জীবনের মুহুর্ত গুলো। অপ্রকাশিত মনের কথা খুজে পাই এখানে। ভালো থাকুক সবাই, ভালো পৃথিবী",No
"কিছু বিশেষ মানুষের জন্য এই গান,যাদের চিন্তাভাবনা সবার থেকে ভিন্ন❤️ভালবাসি প্রিয়",No
" ভালো লাগা শেষ হয় না, বেড়েই চলেছে",No
কিছু গান কখনো পুরনো হয় না,No
শিরোনামহীন একটা ভালোবাসার নাম,No
গানগুলো শুনার আকাঙ্খা যেন শেষ হয় না,No
কোন তুলনা হয় না সত্যি। হৃদয়ে শেষ প্রান্তে এখনো হানা দেয় গানগুলো। অশান্ত হৃদয়ে যেনো একটি অগ্নি তীর ছুটে এসেছে এরকম অনুভুতি,No
"কখনো পুরোনো হবেনা সেই চেনা মুখগুলো,সেই চেনা গানগুলো,সেই চেনা হাসিগুলো",No
যত বার গানটা শুনি ততোবারই মুগ্ধ হয়ে অতীতে ফিরে যাই।শরীরের লোম দাঁড়িয়ে যায়!!!,No
"গত তিন দিনে গানটা কয়েকশতবার শুনেছি। যত শুনি ততই ভালো লাগে।  মাথার ভেতর সারাক্ষণ একটি লাইন বাজে "" তুমি চেয়ে আছো তাই আমি পথে হেটে যাই""",No
শিরোনামহীন এর গান গুলা শোনার পর থেকেই বাংলা ব্যান্ডের প্রতি আকৃষ্ট হতে থাকি,No
"আমাকে যদি বিচারক  হিসেবে  বলা হয়, বাংলাদেশের সেরা  ১০টি গানের নাম বলুন,  তাহলে আমার প্রথম পচ্ছন্দ থাকবে এই গানটি,অসাধারণ  সুন্দর  একটি গান,,,",No
"শিরনামহীন এর অনবদ্য  সব গান,যা কোনদিন ও পুরনো  হবে না",No
এই গান গুলো বার বার শুনলেও মনে হয় পুরানো হয় না।,No
"কিছু গান বার বার শোনার পরও পুরানো হয় না, তার মধ্যে এটি একটি -সেই স্কুল লাইফ থেকে আজও বিষন্ন মন কিংবা উচ্ছ্বাসিত আবেগ নিয়ে শোনা হয়ে এ গান",No
কিছু অনুভূতি কিছু গান আজীবন থেকে যায় অমলিন! পুরনো হয় না কখনোই!,No
বাংলা গানের ইতিহাসে এই গান টি একটি উজ্জ্বল নক্ষত্র হয়ে থাকবে আজীবন,No
যতদিন বাংলা ভাষা থাকবে ততদিন এই গান পুরনো হবে না!,No
কিছু গান কখনো পুরাতন হয় না৷ বেঁচে থাকে হাজারো মানুষের মনে চিরকাল,No
বেঁচে থাকুক ভালোবাসা ৷  শিরোনামহীন ভালোবাসা বেঁচে থাকুক চিরকাল,No
"অথচ এখনো এই গানগুলোর ফুল মিনিং বুঝতে পারলাম না কতো যে বাস্তবতা লুকিয়া আছে,এগুলার মধ্যে",No
অন্ধকার রুম কানে হেডফোন জীবণ এ মোড়ানো কিছু অভিমান. সাথে প্রিয় গান এটা..,No
"""তুমি চেয়ে আছো তাই আমি পথে হেটে যাই"" অসাধারণ একটা লাইন",No
"অজান্তেই আনমনে এখনও গেয়ে যাই,সেই হাসি মুখ দেখি না কতদিন জানিনা কতকাল!",No
প্রতিটা ওয়ার্ডে শরিরের শিহরণ জাগায়,No
এই গানে ভালোবাসার স্পর্শ লেগে আছে। গানটা শুনলে শরীরে  লোম দাঁড়িয়ে যায় । গানটা অনেক ভালো লাগে,No
গানটি শুনলেই প্রিয় মানুষের মুখখানি ভেসে উঠে মনের ভিতর,No
যুগযুগান্তর বেঁচে থাকবে গানগুলা,No
বাংলা ব্যান্ড মানেই ভালোবাসা,No
আহা!!!ভালবাসা অবিরাম...পুরাতন হবার না,No
এখন আগের মতোই ভালো লাগে,No
"বাজারের হাজারো অপসঙ্গীতের ভেতর এমন গান উপহার দেওয়ার জন্য শিরোনামহীন কে অনেক অনেক ধন্যবাদ,,, কমেন্ট টা রেখে গেলাম স্মৃতি হিসাবে",No
যতবারই শুনেছি নতুন লেগেছে গানটা তবে নিজেকে হারিয়েছি চেনা জানা পুরোনো স্বৃতিতে।আশা করি ভবিষ্যতেও সবার পছন্দের ১ নম্বরে জায়গা করে রাখবে নতুন প্রজন্মের মনে,No
"স্মৃতি হিসেবে রেখে গেলাম। আমি হয়তো একদিন থাকবো না, কিন্তুু এই ব্রান্ড থাকবে, গান ও থাকবে, ছোটরা বুঝতে পারবে আমরা কতটা ভালোবাসতাম এই গান গুলোকে",No
জীবন থেকে নেওয়া গান,No
দড়ির উপর হেটে স্থির হয়ে থাকার নাম সার্কাস আর অশান্তিতে থেকে ও শান্ত হয়ে বেঁচে থাকার নাম জীবন,No
কাঁটাতারের ওপার থেকে অনেক মন কেমন করা বিকেলের ফেলে আসা স্মৃতি,No
অনেক অনুভূতি মিশে আছে 💔,No
দিন বদলাবে কাল বদলাবে কিন্তু এইসব গানে যে আবেগ তা বদলাবে না,No
এই গান গুলো যারা শুনে তারা ও এক ধরনের বিশেষ মানুষ,No
আমি একজন অনলাইন কুরআন শিক্ষাক আমি আপনার ভিডিও টি দেখে খুব উপকৃত হলাম,No
ফ্রিল্যান্সিং এর উপর বেস্ট কন্টেন্ট এটা!💯অসংখ্য ধন্যবাদ অতি সংক্ষেপে এবং সহজে বিষয়টি ব্যাখ্যা করার জন্য।জাযাকাল্লাহু খাইরান। ❤️,No
"সময় যেভাবে বদলে যাচ্ছে, তাতে ইংরেজি, কমিউনিকেশন স্কিলস, প্রেজেন্টেশন এসব বেসিক সফট স্কিলসগুলো থাকলে বাকি স্কিলস থেকে আয় করতে পারবে। ইংরেজি না জানার কারণে অনেকেই ভালো কাজ জানা সত্ত্বেও, ভালো কমিউনিকেইশন না করতে পারার জন্য অনেক লস করে, সুযোগ হারায়।",No
"ভাই আমি আপনার মতো হতে চাই, আপনার কাছ থেকে শিখতে চাই। কারন আপনি যেভাবে বুঝান এইভাবে যদি কেউ বুঝাতো তাহলে পুরো ব্যাপারটাই অনেক সহজ হতো।",No
ভাই অসাধারন একটা ভিডিও ছিলো,No
ভিডিও টি দেখে খুব ভালো লাগল। সুন্দর করে বিষয় গুলো বোঝানোর জন্য ধন্যবাদ।,No
বাংলাদেশের কোন ইউটিউবার হিসেবে এই প্রথম ফ্রিল্যান্সিংকে এত সহজ ও সুন্দরভাবে বুঝাতে আর কাউকে দেখিনি! আমি ডিসিয়ান হিসেবে নিজেকে ধন্য মনে করছি! ধন্যবাদ ভাই!! আপনার জন্য দোয়া ও ভালবাসা রইল!,No
"ভাইয়া,,, আমি আপনার এই একটা ভিডিও দেখে, আমার সব প্রশ্নের উত্তর পেয়ে গেলাম। আপনাকে অনেক অনেক ধন্যবাদ,এতো সুন্দর করে বোঝানোর জন্য",No
অসংখ্য ধন্যবাদ ভাইয়া। অনেক অনেক জটিল বিষয় মাত্র কয়েক মিনিটে এত সুন্দর করে বুঝিয়ে দেওয়ার জন্য।,No
এতদিনে ফ্রিল্যান্সিং সম্পর্কে একটা স্বচ্ছ ধারণা পেলাম ❤️ ধন্যবাদ খালিদ ভাইয়া,No
এই প্রথম ফ্রীল্যান্সিং এ কারো ইন্ট্রোডাকশন একদম পারফেক্ট লাগলো৷ আমি মনে করি যেকোন বাংলাদেশীর ফ্রীলেন্সিং শুরু করার জন্য এটা সবচেয়ে  ভালো ভিডিও৷ মনটা ভরে গেল ভাই।,No
অজানা অনেক কিছু শিখলাম,No
আপনার কথা গুলো সফলতার জন্য অনেক কাজে আসবে সকলের। অনেক অনেক ধন্যবাদ,No
আপনার মত করে আর কারো কাছ থেকে এত সুন্দর সাবলীল ব্যাখ্যা পাইনি।,No
খালিদ ফারহান ভাইয়ার বোঝানোর দক্ষতা সত্যিই অসাধারণ। কীভাবে যে এত মজাকরে খিচুড়ি পাকানো জটিল বিষয়গুলো সহজেই বুঝিয়ে দেয়‼️,No
অনেক কিছু শিখতে পারলাম।ধন্যবাদ ,No
ধন্যবাদ ভাই অনেক সুন্দর ভাবে বুঝিয়েছেন।,No
ফ্রিল্যান্সিং নিয়ে আপনার ভিডিওটি অসম্ভব ভালো লেগেছে। এব্যাপারে সুন্দর ধারণা দেয়ার জন্য অসংখ্য ধন্যবাদ।,No
মাশাআল্লাহ! অনেক ইনফরমেটিভ ছিলো,No
এত অল্পের মধ্যে এতো সুন্দরভাবে বুঝানো সত্যিই অসাধারণ ভাই,No
ভাইয়া আপনার কথা গুলা পুরো ভিডিও টা মনোযোগ সহকারে দেখালাম আপনার সবগুলো কথাই  যুক্তিক ধন্যবাদ ফ্রিলান্স সম্পর্কে এতো সুন্দর ধারণা দেওয়ার জন্য,No
অসাধারণ বললেন ভাই । মুগ্ধ হলাম,No
"অনেক অনেক ধন্যবাদ স্যার! এই প্রথম আপনার ভিডিও দেখলাম। সত্যিই অনেক অনেক উতসাহ পেলাম। অনলাইনে আয় করতে নতুন কাজ  শিখতে চাই,যদি যদি আপনি আমার কমেন্টটি দেখে থাকেন,তাহলে আপনার কাছ থেকে হেল্প আশা করছি স্যার।",No
নান্দনিক ও সহজবোধ্য ভাবে ফ্রিল্যান্সিং সম্পর্কে ভিডিওটি উপস্থাপন করার জন্য ধন্যবাদ,No
স্কিলবিহীন হওয়ার পরও এই পুরা ভিডিও দেখলাম,No
ভাই ফ্রিলেন্সিং জগতে আপনি আমার প্রথম উদ্দীপনা,No
